Reviewer,Rating,Date,Title,Content
N/A,N/A,N/A,N/A,N/A
Stella Christy,4,25 Nov 2023,"Colokan listrik mohon d maintain,1 tidak berfungsi","Colokan listriknya mohon d maintain selalu, 1 colokan tidak berfungsi"
Rika Fadilah,5,25 Nov 2023,Comfortable sleep and excellent customer service:),"Semuanya bersih dan nyaman, sayang bobobox alun alun bandung jauhhh sekali parkir motornyaa, kalau parkir motor didepan bangunan pasti saya kasih bintang 10!! Ohiya saran disetiap kamar disediakan keset kaki, terimakasih"
Lee Keang Heng,4,24 Nov 2023,"Bedsheet and towels stained, must clean all.",The bedsheet and towels got stain. Good to ensure all is clean.
Tugas Kantor,4,24 Nov 2023,Kebersihan kamar mandi perlu ditingkatkan,"Kebersihan kamar mandi mohon untuk ditingkatkan ya kak, tp overall oke kamarnya nyaman untuk ditempati. Kakak-kakak staf dan satpam juga ramah dan sabar melayani tamu-tamu yang datang"
Akbar Hantar,5,21 Nov 2023,Stay nice and happy!,Niiiiiiiiccccccccveeeeeee staaaaaaaaaaaaaayÿyyyyyyyyyyyhyhy
Annisa Suhawan,5,19 Nov 2023,"Kamar bersih, nyaman, layak.","Bagus banget, kamar bersih kamar mandi juga bersih, nyaman sangat worth it pokoknya"
Tri Wulandari,5,19 Nov 2023,"Tempat bagus, mudah akses, cocok buat liburan.","Bagus banget tempatnya. akses kemana-mana gampang banget. kalau mau ke alun-alun bandung, king mall, yogya,jalan asia afrika ya tinggal jalan. jadi cocok banget buat yang mau liburan tapi gak nguras dompet. terima kasih bobobox alun-alun bandung"
N/A,N/A,N/A,N/A,N/A
Stella Christy,4,25 Nov 2023,"Colokan listrik mohon d maintain,1 tidak berfungsi","Colokan listriknya mohon d maintain selalu, 1 colokan tidak berfungsi"
Rika Fadilah,5,25 Nov 2023,Comfortable sleep and excellent customer service:),"Semuanya bersih dan nyaman, sayang bobobox alun alun bandung jauhhh sekali parkir motornyaa, kalau parkir motor didepan bangunan pasti saya kasih bintang 10!! Ohiya saran disetiap kamar disediakan keset kaki, terimakasih"
Lee Keang Heng,4,24 Nov 2023,"Bedsheet and towels stained, must clean all.",The bedsheet and towels got stain. Good to ensure all is clean.
Tugas Kantor,4,24 Nov 2023,Kebersihan kamar mandi perlu ditingkatkan,"Kebersihan kamar mandi mohon untuk ditingkatkan ya kak, tp overall oke kamarnya nyaman untuk ditempati. Kakak-kakak staf dan satpam juga ramah dan sabar melayani tamu-tamu yang datang"
Akbar Hantar,5,21 Nov 2023,Stay nice and happy!,Niiiiiiiiccccccccveeeeeee staaaaaaaaaaaaaayÿyyyyyyyyyyyhyhy
Annisa Suhawan,5,19 Nov 2023,"Kamar bersih, nyaman, layak.","Bagus banget, kamar bersih kamar mandi juga bersih, nyaman sangat worth it pokoknya"
Tri Wulandari,5,19 Nov 2023,"Tempat bagus, mudah akses, cocok buat liburan.","Bagus banget tempatnya. akses kemana-mana gampang banget. kalau mau ke alun-alun bandung, king mall, yogya,jalan asia afrika ya tinggal jalan. jadi cocok banget buat yang mau liburan tapi gak nguras dompet. terima kasih bobobox alun-alun bandung"
Meishana,4,18 Nov 2023,"Nikmatnya nginep disini, dekat dengan tempat makan","Suka bangeeeet nginep disini, sebrang the Kings, mau jajan apa aja ada. Mau ke Bake It tinggal nyebrang ajaaa.
Mau ke Bubur Ayam Kang Dedi, tinggal jalan kaki 8 menit."
Brandon White,5,18 Nov 2023,Pleasant stay with comfy bed,"It is a pleasant experience to stay overnight in here. The bed is comfy and the room is comfortable. The facilities also clean. Maybe the bedsheet and bedcover need more cleaning as I find out some stain and dust, but overall it is great!"
Surya Asrini,4,17 Nov 2023,"Pelayan ramah, bersih, nyaman, adem, recommended.","Pods nya cozy, luas, AC nya enak, bersih, lokasi dekat dengan Kings buat cari makan.

Toiletnya di waktu tertentu dan cubicle ada yg aga pesing. Bluetooth pods nya nggak nyala. Lebih OK kalau ada hanging shelf di area handwashing toilet buat taro any amenities yg kita bawa selagi cuci muka atau sikat gigi"
Dewi Maryati,5,16 Nov 2023,Enak banget penginapan nyaman dekat kota.,"enak banget buat quick stay, nyaman deket kota juga klo mau jalan"""
Alfina Dwi Lestari,5,15 Nov 2023,"Pelayanan ramah, nyaman, dan terbaik.",Bagus pelayanan ramah nyaman the best
Pratiwi,5,14 Nov 2023,"Tempat bersih, cocok untuk menginap berdua.",Tempat bersih oke buat nginep berdua
Muhammad Ifan,5,13 Nov 2023,"Kasur ok, staff ramah, akses dekat. Good job",Tidur cukup nyaman walaupun kasurnya agak kaki dikit tapi gak masalah so far nyaman sih. Staffnya ramah dan sangat membantu. Bapak satpamnya juga ramah banget. Aksesnya gampang dan strategis deket banget dari alun-alun. Good job bobobox!
anak jendral,5,12 Nov 2023,Bobobox di Paskal dan Alun-Alun keren,"Ini yg ke 2xnya nginep d bobobox
Pertama d paskal, ke 2 d alun"".. 
Btw bobobox makin keren.."
Izza,5,09 Nov 2023,"Literally walk to McD, rooftop available! Best!",Literally we can walk to McD and they have a rooftop!! Best
muhammad rafli,5,08 Nov 2023,Improve soundproofing for better experience.,"All good , only room soundproof must be improve"
N/A,N/A,N/A,N/A,N/A
Stella Christy,4,25 Nov 2023,"Colokan listrik mohon d maintain,1 tidak berfungsi","Colokan listriknya mohon d maintain selalu, 1 colokan tidak berfungsi"
Rika Fadilah,5,25 Nov 2023,Comfortable sleep and excellent customer service:),"Semuanya bersih dan nyaman, sayang bobobox alun alun bandung jauhhh sekali parkir motornyaa, kalau parkir motor didepan bangunan pasti saya kasih bintang 10!! Ohiya saran disetiap kamar disediakan keset kaki, terimakasih"
Lee Keang Heng,4,24 Nov 2023,"Bedsheet and towels stained, must clean all.",The bedsheet and towels got stain. Good to ensure all is clean.
Tugas Kantor,4,24 Nov 2023,Kebersihan kamar mandi perlu ditingkatkan,"Kebersihan kamar mandi mohon untuk ditingkatkan ya kak, tp overall oke kamarnya nyaman untuk ditempati. Kakak-kakak staf dan satpam juga ramah dan sabar melayani tamu-tamu yang datang"
Akbar Hantar,5,21 Nov 2023,Stay nice and happy!,Niiiiiiiiccccccccveeeeeee staaaaaaaaaaaaaayÿyyyyyyyyyyyhyhy
Annisa Suhawan,5,19 Nov 2023,"Kamar bersih, nyaman, layak.","Bagus banget, kamar bersih kamar mandi juga bersih, nyaman sangat worth it pokoknya"
Tri Wulandari,5,19 Nov 2023,"Tempat bagus, mudah akses, cocok buat liburan.","Bagus banget tempatnya. akses kemana-mana gampang banget. kalau mau ke alun-alun bandung, king mall, yogya,jalan asia afrika ya tinggal jalan. jadi cocok banget buat yang mau liburan tapi gak nguras dompet. terima kasih bobobox alun-alun bandung"
Meishana,4,18 Nov 2023,"Nikmatnya nginep disini, dekat dengan tempat makan","Suka bangeeeet nginep disini, sebrang the Kings, mau jajan apa aja ada. Mau ke Bake It tinggal nyebrang ajaaa.
Mau ke Bubur Ayam Kang Dedi, tinggal jalan kaki 8 menit."
Brandon White,5,18 Nov 2023,Pleasant stay with comfy bed,"It is a pleasant experience to stay overnight in here. The bed is comfy and the room is comfortable. The facilities also clean. Maybe the bedsheet and bedcover need more cleaning as I find out some stain and dust, but overall it is great!"
Surya Asrini,4,17 Nov 2023,"Pelayan ramah, bersih, nyaman, adem, recommended.","Pods nya cozy, luas, AC nya enak, bersih, lokasi dekat dengan Kings buat cari makan.

Toiletnya di waktu tertentu dan cubicle ada yg aga pesing. Bluetooth pods nya nggak nyala. Lebih OK kalau ada hanging shelf di area handwashing toilet buat taro any amenities yg kita bawa selagi cuci muka atau sikat gigi"
Dewi Maryati,5,16 Nov 2023,Enak banget penginapan nyaman dekat kota.,"enak banget buat quick stay, nyaman deket kota juga klo mau jalan"""
Alfina Dwi Lestari,5,15 Nov 2023,"Pelayanan ramah, nyaman, dan terbaik.",Bagus pelayanan ramah nyaman the best
Pratiwi,5,14 Nov 2023,"Tempat bersih, cocok untuk menginap berdua.",Tempat bersih oke buat nginep berdua
Muhammad Ifan,5,13 Nov 2023,"Kasur ok, staff ramah, akses dekat. Good job",Tidur cukup nyaman walaupun kasurnya agak kaki dikit tapi gak masalah so far nyaman sih. Staffnya ramah dan sangat membantu. Bapak satpamnya juga ramah banget. Aksesnya gampang dan strategis deket banget dari alun-alun. Good job bobobox!
anak jendral,5,12 Nov 2023,Bobobox di Paskal dan Alun-Alun keren,"Ini yg ke 2xnya nginep d bobobox
Pertama d paskal, ke 2 d alun"".. 
Btw bobobox makin keren.."
Izza,5,09 Nov 2023,"Literally walk to McD, rooftop available! Best!",Literally we can walk to McD and they have a rooftop!! Best
muhammad rafli,5,08 Nov 2023,Improve soundproofing for better experience.,"All good , only room soundproof must be improve"
denandra fabio,5,07 Nov 2023,A comfortable place for rest,a comfortable and pleasant place to rest...
